District Name,District Code,Taluka Name,Taluka Code,Village Name,Village Code,DTV Code
કચ્છ,01,રાપર,02,અમરાપર - 069,069,0102069
કચ્છ,01,રાપર,02,આડેસર - 039,039,0102039
કચ્છ,01,રાપર,02,આણંદપર - 009,009,0102009
કચ્છ,01,રાપર,02,ઉમૈયા - 046,046,0102046
કચ્છ,01,રાપર,02,કુડા-જામપર - 052,052,0102052
કચ્છ,01,રાપર,02,કુંભારીયા - 094,094,0102094
કચ્છ,01,રાપર,02,કલ્યાણપર - 032,032,0102032
કચ્છ,01,રાપર,02,કાનપર - 044,044,0102044
કચ્છ,01,રાપર,02,કાનમેર - 080,080,0102080
કચ્છ,01,રાપર,02,કારુડા - 048,048,0102048
કચ્છ,01,રાપર,02,કીડીયાનગર - 078,078,0102078
કચ્છ,01,રાપર,02,ખેંગારપર - 026,026,0102026
કચ્છ,01,રાપર,02,ખાંડેક - 020,020,0102020
કચ્છ,01,રાપર,02,ખાનપર - 089,089,0102089
કચ્છ,01,રાપર,02,ખીરઈ - 077,077,0102077
કચ્છ,01,રાપર,02,ગેડી - 015,015,0102015
કચ્છ,01,રાપર,02,ગવરીપર - 028,028,0102028
કચ્છ,01,રાપર,02,ગાગોદર - 085,085,0102085
કચ્છ,01,રાપર,02,ગોવીંદપર - 076,076,0102076
કચ્છ,01,રાપર,02,ઘબડા - 005,005,0102005
કચ્છ,01,રાપર,02,ચીત્રોડ - 088,088,0102088
કચ્છ,01,રાપર,02,છોટાપર - 061,061,0102061
કચ્છ,01,રાપર,02,જદુપર-ભંગેરા - 041,041,0102041
કચ્છ,01,રાપર,02,જેસડા - 030,030,0102030
કચ્છ,01,રાપર,02,જાટાવાડા-જીલારવાંઢ - 004,004,0102004
કચ્છ,01,રાપર,02,જાડાવાસ - 081,081,0102081
કચ્છ,01,રાપર,02,ટગા - 064,064,0102064
કચ્છ,01,રાપર,02,ટીંડ઼લવા - 059,059,0102059
કચ્છ,01,રાપર,02,ડેડરવા - 087,087,0102087
કચ્છ,01,રાપર,02,ડાભુંડા - 058,058,0102058
કચ્છ,01,રાપર,02,ડાવરી - 013,013,0102013
કચ્છ,01,રાપર,02,ત્રંબો - 050,050,0102050
કચ્છ,01,રાપર,02,થાનપર - 022,022,0102022
કચ્છ,01,રાપર,02,થોરીયારી - 092,092,0102092
કચ્છ,01,રાપર,02,દેશલપર - 010,010,0102010
કચ્છ,01,રાપર,02,ધાડઘ્રો - 054,054,0102054
કચ્છ,01,રાપર,02,ધાણીથર - 079,079,0102079
કચ્છ,01,રાપર,02,નંદાસર - 031,031,0102031
કચ્છ,01,રાપર,02,નલીયા ટીંબો - 083,083,0102083
કચ્છ,01,રાપર,02,નાંદા - 038,038,0102038
કચ્છ,01,રાપર,02,નારાણપર - 027,027,0102027
કચ્છ,01,રાપર,02,નીલપર - 057,057,0102057
કચ્છ,01,રાપર,02,પગીવાંઢ - 055,055,0102055
કચ્છ,01,રાપર,02,પંડયાનો ગઢ - 065,065,0102065
કચ્છ,01,રાપર,02,પેથાપર - 095,095,0102095
કચ્છ,01,રાપર,02,પદમપર - 062,062,0102062
કચ્છ,01,રાપર,02,પ્રતાપ઼ગઢ - 091,091,0102091
કચ્છ,01,રાપર,02,પ્રાગપર - 045,045,0102045
કચ્છ,01,રાપર,02,પલાંસવા - 070,070,0102070
કચ્છ,01,રાપર,02,પાલનપર - 049,049,0102049
કચ્છ,01,રાપર,02,ફતેહગઢ - 016,016,0102016
કચ્છ,01,રાપર,02,ફુલપરા - 093,093,0102093
કચ્છ,01,રાપર,02,બેલા - 006,006,0102006
કચ્છ,01,રાપર,02,બાદરગઢ - 075,075,0102075
કચ્છ,01,રાપર,02,બાદલપર - 082,082,0102082
કચ્છ,01,રાપર,02,બાંભણસર - 037,037,0102037
કચ્છ,01,રાપર,02,બાલાસર - 098,098,0102098
કચ્છ,01,રાપર,02,બાલાસરી - 003,003,0102003
કચ્છ,01,રાપર,02,ભરીડીયા-ભુટકીયા - 043,043,0102043
કચ્છ,01,રાપર,02,ભીમદેવકા - 096,096,0102096
કચ્છ,01,રાપર,02,ભીમાસર - 042,042,0102042
કચ્છ,01,રાપર,02,મેવાસા - 086,086,0102086
કચ્છ,01,રાપર,02,માખેલ - 063,063,0102063
કચ્છ,01,રાપર,02,માંજુવાસ - 017,017,0102017
કચ્છ,01,રાપર,02,માણાબા - 097,097,0102097
કચ્છ,01,રાપર,02,માનગઢ - 071,071,0102071
કચ્છ,01,રાપર,02,મોડા - 019,019,0102019
કચ્છ,01,રાપર,02,મોમાયમોરા - 018,018,0102018
કચ્છ,01,રાપર,02,મૌવાણા-શીવગઢ - 007,007,0102007
કચ્છ,01,રાપર,02,રવ મોટી - 023,023,0102023
કચ્છ,01,રાપર,02,રાપર - 090,090,0102090
કચ્છ,01,રાપર,02,રામવાવ - 053,053,0102053
કચ્છ,01,રાપર,02,લાકડાવાંઢ - 011,011,0102011
કચ્છ,01,રાપર,02,લાખાગઢ - 040,040,0102040
કચ્છ,01,રાપર,02,લોદ્રાણી-પરકરાવાંઢ - 002,002,0102002
કચ્છ,01,રાપર,02,વેકરા - 073,073,0102073
કચ્છ,01,રાપર,02,વ઼જેપર - 051,051,0102051
કચ્છ,01,રાપર,02,વણોઈ - 025,025,0102025
કચ્છ,01,રાપર,02,વ્રજવાણી - 008,008,0102008
કચ્છ,01,રાપર,02,વરણુ - 067,067,0102067
કચ્છ,01,રાપર,02,વેરસરા - 001,001,0102001
કચ્છ,01,રાપર,02,વ઼લ્લભપર - 060,060,0102060
કચ્છ,01,રાપર,02,વીજાપર - 066,066,0102066
કચ્છ,01,રાપર,02,શાનગઢ - 021,021,0102021
કચ્છ,01,રાપર,02,સઈ - 074,074,0102074
કચ્છ,01,રાપર,02,સુખપર - 068,068,0102068
કચ્છ,01,રાપર,02,સણવા - 036,036,0102036
કચ્છ,01,રાપર,02,સુદાણા વાંઢ - 024,024,0102024
કચ્છ,01,રાપર,02,સુરબાવાંઢ - 012,012,0102012
કચ્છ,01,રાપર,02,સરસલા - 056,056,0102056
કચ્છ,01,રાપર,02,સેલારી - 033,033,0102033
કચ્છ,01,રાપર,02,સુવઈ - 029,029,0102029
કચ્છ,01,રાપર,02,સાંય - 084,084,0102084
કચ્છ,01,રાપર,02,સોનલવા - 047,047,0102047
કચ્છ,01,રાપર,02,સોમાણી વાંઢ - 072,072,0102072
કચ્છ,01,રાપર,02,હમીરપર નાની - 035,035,0102035
કચ્છ,01,રાપર,02,હમીરપર મોટી - 034,034,0102034
કચ્છ,01,ભચાઉ,03,અમરાપર - 009,009,0103009
કચ્છ,01,ભચાઉ,03,આઘોઈ - 031,031,0103031
કચ્છ,01,ભચાઉ,03,આંબલીયારા - 051,051,0103051
કચ્છ,01,ભચાઉ,03,આમરડી - 042,042,0103042
કચ્છ,01,ભચાઉ,03,કકરવા - 015,015,0103015
કચ્છ,01,ભચાઉ,03,કટારીયા જુના - 060,060,0103060
કચ્છ,01,ભચાઉ,03,કટારીયા નવા - 061,061,0103061
કચ્છ,01,ભચાઉ,03,કડોલ - 020,020,0103020
કચ્છ,01,ભચાઉ,03,કણખોઈ - 012,012,0103012
કચ્છ,01,ભચાઉ,03,કંથકોટ - 017,017,0103017
કચ્છ,01,ભચાઉ,03,કબરાઉ-પાંકડસર - 040,040,0103040
કચ્છ,01,ભચાઉ,03,કુંભારડી - 038,038,0103038
કચ્છ,01,ભચાઉ,03,કરમરીયા - 037,037,0103037
કચ્છ,01,ભચાઉ,03,ક઼લ્યાણપર - 003,003,0103003
કચ્છ,01,ભચાઉ,03,ખારોઈ - 019,019,0103019
કચ્છ,01,ભચાઉ,03,ખારોડા - 002,002,0103002
કચ્છ,01,ભચાઉ,03,ખોડાસર - 069,069,0103069
