District,District Code,Taluka,Taluka Code,Village,Village Code,DTV Code
____,01,____,01,____ - 040,040,0101040
____,01,____,01,____ - 012,012,0101012
____,01,____,01,_____ - 051,051,0101051
____,01,____,01,______-________ - 067,067,0101067
____,01,____,01,____ - 013,013,0101013
____,01,____,01,_____ - 030,030,0101030
____,01,____,01,______ - 099,099,0101099
____,01,____,01,______ - 096,096,0101096
____,01,____,01,_____ - 046,046,0101046
____,01,____,01,____ - 024,024,0101024
____,01,____,01,_______ - 019,019,0101019
____,01,____,01,______ - 027,027,0101027
____,01,____,01,_____ - 008,008,0101008
____,01,____,01,_____ - 006,006,0101006
____,01,____,01,________ - 004,004,0101004
____,01,____,01,_____ __ - 086,086,0101086
____,01,____,01,________ - 021,021,0101021
____,01,____,01,________ - 020,020,0101020
____,01,____,01,________ - 003,003,0101003
____,01,____,01,_____ - 035,035,0101035
____,01,____,01,___ - 071,071,0101071
____,01,____,01,_____ - 041,041,0101041
____,01,____,01,____ - 092,092,0101092
____,01,____,01,______ - 077,077,0101077
____,01,____,01,______-_____ - 090,090,0101090
____,01,____,01,_________ - 064,064,0101064
____,01,____,01,______ - 009,009,0101009
____,01,____,01,_____ - 091,091,0101091
____,01,____,01,____ ____ - 044,044,0101044
____,01,____,01,____ ____ - 045,045,0101045
____,01,____,01,______ - 043,043,0101043
____,01,____,01,_____ - 038,038,0101038
____,01,____,01,_____ - 023,023,0101023
____,01,____,01,______ - 039,039,0101039
____,01,____,01,_____ - 072,072,0101072
____,01,____,01,_____ - 058,058,0101058
____,01,____,01,_____ - 037,037,0101037
____,01,____,01,___ ____ - 002,002,0101002
____,01,____,01,___ ____ - 001,001,0101001
____,01,____,01,_________ - 087,087,0101087
____,01,____,01,_______ - 055,055,0101055
____,01,____,01,______ - 078,078,0101078
____,01,____,01,_____ - 076,076,0101076
____,01,____,01,______ - 053,053,0101053
____,01,____,01,____ - 033,033,0101033
____,01,____,01,_______ - 085,085,0101085
____,01,____,01,_____ - 083,083,0101083
____,01,____,01,_____ - 026,026,0101026
____,01,____,01,_____ - 054,054,0101054
____,01,____,01,______ - 068,068,0101068
____,01,____,01,_____ - 042,042,0101042
____,01,____,01,_____ - 066,066,0101066
____,01,____,01,___ - 056,056,0101056
____,01,____,01,______ _____ - 022,022,0101022
____,01,____,01,___ - 094,094,0101094
____,01,____,01,________-_____ - 015,015,0101015
____,01,____,01,_______ - 014,014,0101014
____,01,____,01,________ - 028,028,0101028
____,01,____,01,____ - 075,075,0101075
____,01,____,01,_____ - 029,029,0101029
____,01,____,01,____ - 059,059,0101059
____,01,____,01,______ - 016,016,0101016
____,01,____,01,_____ - 073,073,0101073
____,01,____,01,________ - 057,057,0101057
____,01,____,01,_____ ____ - 097,097,0101097
____,01,____,01,_____ ____ - 098,098,0101098
____,01,____,01,_____ - 034,034,0101034
____,01,____,01,______ - 018,018,0101018
____,01,____,01,_____ - 011,011,0101011
____,01,____,01,______ - 047,047,0101047
____,01,____,01,_______ - 093,093,0101093
____,01,____,01,________ - 082,082,0101082
____,01,____,01,______ __ - 069,069,0101069
____,01,____,01,______ - 017,017,0101017
____,01,____,01,_________ - 048,048,0101048
____,01,____,01,____ - 074,074,0101074
____,01,____,01,________ - 088,088,0101088
____,01,____,01,_________ - 070,070,0101070
____,01,____,01,______ ____ - 061,061,0101061
____,01,____,01,___________ - 065,065,0101065
____,01,____,01,______ - 036,036,0101036
____,01,____,01,______ - 050,050,0101050
____,01,____,01,___ - 025,025,0101025
____,01,____,01,______-______ - 005,005,0101005
____,01,____,01,________ - 100,100,0101100
____,01,____,01,_______-________ - 049,049,0101049
____,01,____,01,______ - 095,095,0101095
____,01,____,01,_________ - 081,081,0101081
____,01,____,01,______ - 010,010,0101010
____,01,____,01,________ - 079,079,0101079
____,01,____,01,________ - 080,080,0101080
____,01,____,01,_____ - 031,031,0101031
____,01,____,01,_______ - 060,060,0101060
____,01,____,01,_____ - 089,089,0101089
____,01,____,01,_____ - 052,052,0101052
____,01,____,02,______ - 069,069,0102069
____,01,____,02,_____ - 039,039,0102039
____,01,____,02,______ - 009,009,0102009
____,01,____,02,_____ - 046,046,0102046
____,01,____,02,____-_____ - 052,052,0102052
____,01,____,02,_________ - 094,094,0102094
____,01,____,02,________ - 032,032,0102032
____,01,____,02,_____ - 044,044,0102044
____,01,____,02,______ - 080,080,0102080
____,01,____,02,______ - 048,048,0102048
____,01,____,02,_________ - 078,078,0102078
____,01,____,02,________ - 026,026,0102026
____,01,____,02,______ - 020,020,0102020
____,01,____,02,_____ - 089,089,0102089
____,01,____,02,____ - 077,077,0102077
____,01,____,02,____ - 015,015,0102015
____,01,____,02,______ - 028,028,0102028
____,01,____,02,______ - 085,085,0102085
____,01,____,02,________ - 076,076,0102076
____,01,____,02,____ - 005,005,0102005
____,01,____,02,_______ - 088,088,0102088
____,01,____,02,______ - 061,061,0102061
____,01,____,02,_____-______ - 041,041,0102041
____,01,____,02,_____ - 030,030,0102030
____,01,____,02,________-_________ - 004,004,0102004
____,01,____,02,_______ - 081,081,0102081
____,01,____,02,___ - 064,064,0102064
____,01,____,02,________ - 059,059,0102059
____,01,____,02,______ - 087,087,0102087
____,01,____,02,_______ - 058,058,0102058
____,01,____,02,_____ - 013,013,0102013
____,01,____,02,______ - 050,050,0102050
____,01,____,02,_____ - 022,022,0102022
____,01,____,02,________ - 092,092,0102092
____,01,____,02,______ - 010,010,0102010
____,01,____,02,_______ - 054,054,0102054
____,01,____,02,______ - 079,079,0102079
____,01,____,02,______ - 031,031,0102031
____,01,____,02,_____ _____ - 083,083,0102083
____,01,____,02,_____ - 038,038,0102038
____,01,____,02,_______ - 027,027,0102027
____,01,____,02,_____ - 057,057,0102057
____,01,____,02,_______ - 055,055,0102055
____,01,____,02,_______ __ - 065,065,0102065
____,01,____,02,______ - 095,095,0102095
____,01,____,02,_____ - 062,062,0102062
____,01,____,02,_________ - 091,091,0102091
____,01,____,02,_______ - 045,045,0102045
____,01,____,02,_______ - 070,070,0102070
____,01,____,02,______ - 049,049,0102049
____,01,____,02,______ - 016,016,0102016
____,01,____,02,______ - 093,093,0102093
____,01,____,02,____ - 006,006,0102006
____,01,____,02,______ - 075,075,0102075
____,01,____,02,______ - 082,082,0102082
____,01,____,02,_______ - 037,037,0102037
____,01,____,02,______ - 098,098,0102098
____,01,____,02,_______ - 003,003,0102003
____,01,____,02,_______-_______ - 043,043,0102043
____,01,____,02,________ - 096,096,0102096
____,01,____,02,______ - 042,042,0102042
____,01,____,02,______ - 086,086,0102086
____,01,____,02,_____ - 063,063,0102063
____,01,____,02,________ - 017,017,0102017
____,01,____,02,______ - 097,097,0102097
____,01,____,02,_____ - 071,071,0102071
____,01,____,02,____ - 019,019,0102019
____,01,____,02,_________ - 018,018,0102018
____,01,____,02,______-_____ - 007,007,0102007
____,01,____,02,__ ____ - 023,023,0102023
____,01,____,02,____ - 090,090,0102090
____,01,____,02,______ - 053,053,0102053
____,01,____,02,_________ - 011,011,0102011
____,01,____,02,______ - 040,040,0102040
____,01,____,02,________-_________ - 002,002,0102002
____,01,____,02,_____ - 073,073,0102073
____,01,____,02,______ - 051,051,0102051
____,01,____,02,____ - 025,025,0102025
____,01,____,02,________ - 008,008,0102008
____,01,____,02,____ - 067,067,0102067
____,01,____,02,______ - 001,001,0102001
____,01,____,02,________ - 060,060,0102060
____,01,____,02,______ - 066,066,0102066
____,01,____,02,_____ - 021,021,0102021
____,01,____,02,__ - 074,074,0102074
____,01,____,02,_____ - 068,068,0102068
____,01,____,02,____ - 036,036,0102036
____,01,____,02,______ ____ - 024,024,0102024
____,01,____,02,_________ - 012,012,0102012
____,01,____,02,_____ - 056,056,0102056
____,01,____,02,______ - 033,033,0102033
____,01,____,02,____ - 029,029,0102029
____,01,____,02,____ - 084,084,0102084
____,01,____,02,______ - 047,047,0102047
____,01,____,02,______ ____ - 072,072,0102072
____,01,____,02,______ ____ - 035,035,0102035
____,01,____,02,______ ____ - 034,034,0102034
____,01,____,03,______ - 009,009,0103009
____,01,____,03,____ - 031,031,0103031
____,01,____,03,_________ - 051,051,0103051
____,01,____,03,_____ - 042,042,0103042
____,01,____,03,_____ - 015,015,0103015
____,01,____,03,_______ ____ - 060,060,0103060
____,01,____,03,_______ ___ - 061,061,0103061
____,01,____,03,____ - 020,020,0103020
____,01,____,03,_____ - 012,012,0103012
____,01,____,03,______ - 017,017,0103017
____,01,____,03,_____-_______ - 040,040,0103040
____,01,____,03,________ - 038,038,0103038
____,01,____,03,_______ - 037,037,0103037
____,01,____,03,_________ - 003,003,0103003
____,01,____,03,_____ - 019,019,0103019
____,01,____,03,______ - 002,002,0103002
____,01,____,03,______ - 069,069,0103069
____,01,____,03,____ - 008,008,0103008
____,01,____,03,______ - 010,010,0103010
____,01,____,03,______ - 028,028,0103028
____,01,____,03,_____ - 064,064,0103064
____,01,____,03,_____ - 056,056,0103056
____,01,____,03,________ - 001,001,0103001
____,01,____,03,_________ - 068,068,0103068
____,01,____,03,____ ____ - 048,048,0103048
____,01,____,03,____ ____ - 047,047,0103047
____,01,____,03,______ - 046,046,0103046
____,01,____,03,______ - 013,013,0103013
____,01,____,03,_______ - 050,050,0103050
____,01,____,03,____ - 052,052,0103052
____,01,____,03,____ - 016,016,0103016
____,01,____,03,____ - 004,004,0103004
____,01,____,03,_______ - 027,027,0103027
____,01,____,03,___-_____ - 021,021,0103021
____,01,____,03,___ - 029,029,0103029
____,01,____,03,________ - 067,067,0103067
____,01,____,03,_________ - 055,055,0103055
____,01,____,03,_____ - 023,023,0103023
____,01,____,03,________ - 022,022,0103022
____,01,____,03,_______ - 006,006,0103006
____,01,____,03,_______ - 005,005,0103005
____,01,____,03,____ - 074,074,0103074
____,01,____,03,_____ - 043,043,0103043
____,01,____,03,_______ - 011,011,0103011
____,01,____,03,_____-_______ - 024,024,0103024
____,01,____,03,_____ - 014,014,0103014
____,01,____,03,___ - 018,018,0103018
____,01,____,03,_____ - 063,063,0103063
____,01,____,03,______-______ - 041,041,0103041
____,01,____,03,_____ - 007,007,0103007
____,01,____,03,______ - 059,059,0103059
____,01,____,03,______ - 070,070,0103070
____,01,____,03,_____ - 034,034,0103034
____,01,____,03,_______-_____ - 062,062,0103062
____,01,____,03,____ - 033,033,0103033
____,01,____,03,_____ - 045,045,0103045
____,01,____,03,_______ - 053,053,0103053
____,01,____,03,_______ - 058,058,0103058
____,01,____,03,______ - 066,066,0103066
____,01,____,03,_____ - 030,030,0103030
____,01,____,03,_______ - 065,065,0103065
____,01,____,03,_____ - 025,025,0103025
____,01,____,03,_______ - 035,035,0103035
____,01,____,03,______ - 036,036,0103036
____,01,____,03,____ - 049,049,0103049
____,01,____,03,_____ - 039,039,0103039
____,01,____,03,________ - 071,071,0103071
____,01,____,03,______ - 057,057,0103057
____,01,____,03,_____ - 044,044,0103044
____,01,____,03,_________ - 054,054,0103054
____,01,____,03,____ - 026,026,0103026
____,01,_____,04,_____ - 031,031,0104031
____,01,_____,04,_____ ____ - 077,077,0104077
____,01,_____,04,_____ ___ - 078,078,0104078
____,01,_____,04,_______-_ - 004,004,0104004
____,01,_____,04,______-_ - 076,076,0104076
____,01,_____,04,______ - 016,016,0104016
____,01,_____,04,_________ - 063,063,0104063
____,01,_____,04,_____ - 012,012,0104012
____,01,_____,04,________ - 009,009,0104009
____,01,_____,04,_____ - 053,053,0104053
____,01,_____,04,_____ - 042,042,0104042
____,01,_____,04,____ ________ - 030,030,0104030
____,01,_____,04,______ - 002,002,0104002
____,01,_____,04,_____ - 018,018,0104018
____,01,_____,04,_____ - 007,007,0104007
____,01,_____,04,______ - 048,048,0104048
____,01,_____,04,__________ - 070,070,0104070
____,01,_____,04,_________ - 065,065,0104065
____,01,_____,04,___________ - 011,011,0104011
____,01,_____,04,___ - 019,019,0104019
____,01,_____,04,_____ - 014,014,0104014
____,01,_____,04,____ - 074,074,0104074
____,01,_____,04,____ - 008,008,0104008
____,01,_____,04,_______ - 062,062,0104062
____,01,_____,04,______ - 003,003,0104003
____,01,_____,04,__________ - 068,068,0104068
____,01,_____,04,______ - 010,010,0104010
____,01,_____,04,______ ____ - 038,038,0104038
____,01,_____,04,______ ____ - 039,039,0104039
____,01,_____,04,______ - 023,023,0104023
____,01,_____,04,_____ - 013,013,0104013
____,01,_____,04,_______ - 043,043,0104043
____,01,_____,04,_________ - 006,006,0104006
____,01,_____,04,___________ _____ - 067,067,0104067
____,01,_____,04,___________ ______ - 066,066,0104066
____,01,_____,04,____ - 050,050,0104050
____,01,_____,04,____ - 064,064,0104064
____,01,_____,04,_______ - 025,025,0104025
____,01,_____,04,______ - 032,032,0104032
____,01,_____,04,_______ - 051,051,0104051
____,01,_____,04,_____-________ - 055,055,0104055
____,01,_____,04,_____-______ - 056,056,0104056
____,01,_____,04,____ - 052,052,0104052
____,01,_____,04,____ - 072,072,0104072
____,01,_____,04,________ - 024,024,0104024
____,01,_____,04,____ ________ - 029,029,0104029
____,01,_____,04,________ - 054,054,0104054
____,01,_____,04,______ - 036,036,0104036
____,01,_____,04,_____ - 020,020,0104020
____,01,_____,04,_____ - 022,022,0104022
____,01,_____,04,________ - 027,027,0104027
____,01,_____,04,____ - 017,017,0104017
____,01,_____,04,_____ - 073,073,0104073
____,01,_____,04,______ - 015,015,0104015
____,01,_____,04,________ ____ - 044,044,0104044
____,01,_____,04,________ ____ - 047,047,0104047
____,01,_____,04,______ - 033,033,0104033
____,01,_____,04,________ - 037,037,0104037
____,01,_____,04,____ - 045,045,0104045
____,01,_____,04,____ - 040,040,0104040
____,01,_____,04,____ - 069,069,0104069
____,01,_____,04,________ - 021,021,0104021
____,01,_____,04,____ - 071,071,0104071
____,01,_____,04,_____ - 028,028,0104028
____,01,_____,04,______ - 026,026,0104026
____,01,_____,04,________ - 041,041,0104041
____,01,_____,04,______ - 046,046,0104046
____,01,_____,04,______ - 001,001,0104001
____,01,___,05,____ - 030,030,0105030
____,01,___,05,_______ - 109,109,0105109
____,01,___,05,_______ - 090,090,0105090
____,01,___,05,_____ - 117,117,0105117
____,01,___,05,_______ - 120,120,0105120
____,01,___,05,_____ __ - 089,089,0105089
____,01,___,05,_______ - 034,034,0105034
____,01,___,05,_______ - 040,040,0105040
____,01,___,05,____ - 024,024,0105024
____,01,___,05,_____ - 110,110,0105110
____,01,___,05,____ - 139,139,0105139
____,01,___,05,________ - 099,099,0105099
____,01,___,05,_______ - 072,072,0105072
____,01,___,05,_____ - 108,108,0105108
____,01,___,05,____ ______ - 083,083,0105083
____,01,___,05,_____ _____ - 150,150,0105150
____,01,___,05,_____ - 044,044,0105044
____,01,___,05,_____ - 101,101,0105101
____,01,___,05,____ - 028,028,0105028
____,01,___,05,_____ - 020,020,0105020
____,01,___,05,_____ - 066,066,0105066
____,01,___,05,____ - 137,137,0105137
____,01,___,05,____ - 095,095,0105095
____,01,___,05,_____ - 158,158,0105158
____,01,___,05,______ - 081,081,0105081
____,01,___,05,_____ - ____ - 131,131,0105131
____,01,___,05,_____ (_____) - 027,027,0105027
____,01,___,05,_____ (____) - 098,098,0105098
____,01,___,05,_____ - 046,046,0105046
____,01,___,05,________ - 023,023,0105023
____,01,___,05,______ - 091,091,0105091
____,01,___,05,______ - 026,026,0105026
____,01,___,05,____ - 147,147,0105147
____,01,___,05,_____ - 136,136,0105136
____,01,___,05,______ - 084,084,0105084
____,01,___,05,______ - 121,121,0105121
____,01,___,05,____ - 161,161,0105161
____,01,___,05,_____ - 127,127,0105127
____,01,___,05,________ - 049,049,0105049
____,01,___,05,_______ - 149,149,0105149
____,01,___,05,___ _______ - 025,025,0105025
____,01,___,05,_____ - 142,142,0105142
____,01,___,05,____ - 036,036,0105036
____,01,___,05,______ - 056,056,0105056
____,01,___,05,_____ _____ - 134,134,0105134
____,01,___,05,_______ - 038,038,0105038
____,01,___,05,_____ - 087,087,0105087
____,01,___,05,____ - 032,032,0105032
____,01,___,05,_____ - 063,063,0105063
____,01,___,05,______ - 061,061,0105061
____,01,___,05,______ - 078,078,0105078
____,01,___,05,______ ____ - 168,168,0105168
____,01,___,05,______ - 156,156,0105156
____,01,___,05,______ - 106,106,0105106
____,01,___,05,_______ - 135,135,0105135
____,01,___,05,______ - 022,022,0105022
____,01,___,05,______ _____ - 162,162,0105162
____,01,___,05,________ - 071,071,0105071
____,01,___,05,______ - 163,163,0105163
____,01,___,05,________ - 105,105,0105105
____,01,___,05,_____ - 076,076,0105076
____,01,___,05,_______ - 086,086,0105086
____,01,___,05,_____ ____ - 107,107,0105107
____,01,___,05,_______ _____ - 129,129,0105129
____,01,___,05,_______-______ - 138,138,0105138
____,01,___,05,________ _____ - 054,054,0105054
____,01,___,05,________ - 043,043,0105043
____,01,___,05,_______ ____ - 042,042,0105042
____,01,___,05,_____ - 093,093,0105093
____,01,___,05,____ - 058,058,0105058
____,01,___,05,______ - 077,077,0105077
____,01,___,05,______ - 073,073,0105073
____,01,___,05,_______ - 069,069,0105069
____,01,___,05,_____ - 103,103,0105103
____,01,___,05,_____ - 045,045,0105045
____,01,___,05,_____ - 102,102,0105102
____,01,___,05,_____ ____ - 145,145,0105145
____,01,___,05,_____ ____ - 146,146,0105146
____,01,___,05,______ - 140,140,0105140
____,01,___,05,_____-_____ - 064,064,0105064
____,01,___,05,_____-____ - 065,065,0105065
____,01,___,05,______ - 115,115,0105115
____,01,___,05,______ - 141,141,0105141
____,01,___,05,______ - 113,113,0105113
____,01,___,05,_____ - 062,062,0105062
____,01,___,05,____ - 074,074,0105074
____,01,___,05,_____ - 130,130,0105130
____,01,___,05,______ - 085,085,0105085
____,01,___,05,_______ - 100,100,0105100
____,01,___,05,______ - 088,088,0105088
____,01,___,05,___ ____ - 041,041,0105041
____,01,___,05,_____ - 053,053,0105053
____,01,___,05,_______ - 021,021,0105021
____,01,___,05,_____ - 075,075,0105075
____,01,___,05,_________ - 051,051,0105051
____,01,___,05,_____ ____ - 118,118,0105118
____,01,___,05,_____ ____ - 119,119,0105119
____,01,___,05,____ ____ - 151,151,0105151
____,01,___,05,____ ____ - 126,126,0105126
____,01,___,05,_______ - 079,079,0105079
____,01,___,05,______ - 018,018,0105018
____,01,___,05,___ - 116,116,0105116
____,01,___,05,______ - 094,094,0105094
____,01,___,05,_____ - 047,047,0105047
____,01,___,05,______ - 035,035,0105035
____,01,___,05,_____ - 039,039,0105039
____,01,___,05,____ - 144,144,0105144
____,01,___,05,____ - 124,124,0105124
____,01,___,05,______ - 092,092,0105092
____,01,___,05,______ - 037,037,0105037
____,01,___,05,______ ____ - 080,080,0105080
____,01,___,05,______ ____ - 082,082,0105082
____,01,___,05,____ - 155,155,0105155
____,01,___,05,______ - 132,132,0105132
____,01,___,05,____ ___ - 114,114,0105114
____,01,___,05,______ - 111,111,0105111
____,01,___,05,______ - 048,048,0105048
____,01,___,05,_____ - 123,123,0105123
____,01,___,05,_______ - 070,070,0105070
____,01,___,05,_____ - 068,068,0105068
____,01,___,05,______ - 128,128,0105128
____,01,___,05,______ - 148,148,0105148
____,01,___,05,_______-______ - 067,067,0105067
____,01,___,05,_______-_______ - 033,033,0105033
____,01,___,05,______ - 122,122,0105122
____,01,___,05,____ - 133,133,0105133
____,01,___,05,_____ - 059,059,0105059
____,01,___,05,______ _____ - 154,154,0105154
____,01,___,05,_____ _____ - 060,060,0105060
____,01,___,05,_____ ____ - 104,104,0105104
____,01,___,05,______ - 031,031,0105031
____,01,___,05,____ _____ - 143,143,0105143
____,01,___,05,_______ - 112,112,0105112
____,01,___,05,_____ - 029,029,0105029
____,01,___,05,____ - 055,055,0105055
____,01,___,05,_____ - 125,125,0105125
____,01,___,05,______ - 153,153,0105153
____,01,________,06,______ - 061,061,0106061
____,01,________,06,______ ____ - 091,091,0106091
____,01,________,06,______ - 100,100,0106100
____,01,________,06,___ ____ - 051,051,0106051
____,01,________,06,___ ____ - 026,026,0106026
____,01,________,06,______ - 108,108,0106108
____,01,________,06,______ - 087,087,0106087
____,01,________,06,_____ - 010,010,0106010
____,01,________,06,______ - 075,075,0106075
____,01,________,06,_____ - 034,034,0106034
____,01,________,06,_______ - 006,006,0106006
____,01,________,06,______ - 031,031,0106031
____,01,________,06,___ - 062,062,0106062
____,01,________,06,___ - 009,009,0106009
____,01,________,06,_____ - 057,057,0106057
____,01,________,06,_______ - 094,094,0106094
____,01,________,06,______ ____ - 099,099,0106099
____,01,________,06,________ - 104,104,0106104
____,01,________,06,______ ____ - 072,072,0106072
____,01,________,06,______ ____ - 073,073,0106073
____,01,________,06,_____ (______) - 083,083,0106083
____,01,________,06,_____ _____ - 070,070,0106070
____,01,________,06,_____-____ - 127,127,0106127
____,01,________,06,______ - 048,048,0106048
____,01,________,06,_______ - 023,023,0106023
____,01,________,06,______ (_____) - 037,037,0106037
____,01,________,06,______-______ - 136,136,0106136
____,01,________,06,______-____ - 122,122,0106122
____,01,________,06,______ ____ - 035,035,0106035
____,01,________,06,______ ____ - 045,045,0106045
____,01,________,06,_____ _____ - 133,133,0106133
____,01,________,06,_____ _____ - 111,111,0106111
____,01,________,06,_____ - 005,005,0106005
____,01,________,06,________ - 135,135,0106135
____,01,________,06,_____ - 012,012,0106012
____,01,________,06,_____ - 029,029,0106029
____,01,________,06,_____ ____ - 088,088,0106088
____,01,________,06,______ - 028,028,0106028
____,01,________,06,______ - 081,081,0106081
____,01,________,06,_____ - 071,071,0106071
____,01,________,06,_______ - 027,027,0106027
____,01,________,06,____ ____ - 129,129,0106129
____,01,________,06,_____ - 076,076,0106076
____,01,________,06,______ - 126,126,0106126
____,01,________,06,______ - 030,030,0106030
____,01,________,06,______ - 079,079,0106079
____,01,________,06,______ - 121,121,0106121
____,01,________,06,____ - 025,025,0106025
____,01,________,06,______ - 046,046,0106046
____,01,________,06,_____ - 024,024,0106024
____,01,________,06,____ - 008,008,0106008
____,01,________,06,___ - 105,105,0106105
____,01,________,06,__-______ - 020,020,0106020
____,01,________,06,______ - 082,082,0106082
____,01,________,06,____ - 130,130,0106130
____,01,________,06,_____ - 098,098,0106098
____,01,________,06,_____ - 066,066,0106066
____,01,________,06,______ - 052,052,0106052
____,01,________,06,______ ___. - 032,032,0106032
____,01,________,06,________ ____ - 077,077,0106077
____,01,________,06,________ ____ - 078,078,0106078
____,01,________,06,______ - 044,044,0106044
____,01,________,06,______ - 080,080,0106080
____,01,________,06,_______ - 015,015,0106015
____,01,________,06,______ - 011,011,0106011
____,01,________,06,_______ ____ - 110,110,0106110
____,01,________,06,______ - 058,058,0106058
____,01,________,06,______ - 107,107,0106107
____,01,________,06,______ - 001,001,0106001
____,01,________,06,_______ (____) - 059,059,0106059
____,01,________,06,_____ - 019,019,0106019
____,01,________,06,_____ - 049,049,0106049
____,01,________,06,____ - 092,092,0106092
____,01,________,06,_________ - 042,042,0106042
____,01,________,06,____ - 022,022,0106022
____,01,________,06,______ ____ - 039,039,0106039
____,01,________,06,______ ____ - 038,038,0106038
____,01,________,06,____ - 084,084,0106084
____,01,________,06,______ ___ - 134,134,0106134
____,01,________,06,______-_____ - 041,041,0106041
____,01,________,06,______ - 125,125,0106125
____,01,________,06,_____ - 054,054,0106054
____,01,________,06,______ ____ - 128,128,0106128
____,01,________,06,_______ - 116,116,0106116
____,01,________,06,____ - 118,118,0106118
____,01,________,06,______ - 060,060,0106060
____,01,________,06,___ - 047,047,0106047
____,01,________,06,____ - 018,018,0106018
____,01,________,06,_____ - 120,120,0106120
____,01,________,06,_____ - 085,085,0106085
____,01,________,06,_____ - 033,033,0106033
____,01,________,06,_________ - 043,043,0106043
____,01,________,06,_______ - 017,017,0106017
____,01,________,06,_______ - 056,056,0106056
____,01,________,06,_____-______ - 014,014,0106014
____,01,________,06,______ - 074,074,0106074
____,01,________,06,______ ____ - 102,102,0106102
____,01,________,06,______ ____ - 101,101,0106101
____,01,________,06,_____ ____ - 036,036,0106036
____,01,________,06,_____-____ - 112,112,0106112
____,01,________,06,____-_____ - 124,124,0106124
____,01,________,06,_________(______) - 040,040,0106040
____,01,________,06,__________-___ - 103,103,0106103
____,01,________,06,______ - 007,007,0106007
____,01,________,06,______ - 106,106,0106106
____,01,________,06,___________ - 065,065,0106065
____,01,________,06,_____ - 013,013,0106013
____,01,________,06,___ - 021,021,0106021
____,01,________,06,____ _________ - 132,132,0106132
____,01,________,06,____ ________ - 131,131,0106131
____,01,________,06,________ - 064,064,0106064
____,01,________,06,_______ - 115,115,0106115
____,01,________,06,_______ - 123,123,0106123
____,01,________,06,_____ - 093,093,0106093
____,01,________,06,_____ ____ - 003,003,0106003
____,01,________,06,_____ ____ - 002,002,0106002
____,01,________,06,______ - 016,016,0106016
____,01,________,06,_______ - 114,114,0106114
____,01,________,06,_____ - 086,086,0106086
____,01,________,06,______ - 117,117,0106117
____,01,________,06,______ - 063,063,0106063
____,01,________,06,______ ____ - 069,069,0106069
____,01,________,06,______ ____ - 068,068,0106068
____,01,________,06,_____-____ - 113,113,0106113
____,01,________,06,_____-______ - 067,067,0106067
____,01,________,06,______ - 096,096,0106096
____,01,________,06,________ - 095,095,0106095
____,01,________,06,______ - 097,097,0106097
____,01,________,06,_____-______ - 055,055,0106055
____,01,______,07,____ ____ - 007,007,0107007
____,01,______,07,_______ - 113,113,0107113
____,01,______,07,_____ - 038,038,0107038
____,01,______,07,____ - 015,015,0107015
____,01,______,07,_______ - 041,041,0107041
____,01,______,07,___ - 020,020,0107020
____,01,______,07,______ - 058,058,0107058
____,01,______,07,_____ - 115,115,0107115
____,01,______,07,_____ - 133,133,0107133
____,01,______,07,________ - 077,077,0107077
____,01,______,07,_____ - 128,128,0107128
____,01,______,07,____ - 116,116,0107116
____,01,______,07,_____ - 008,008,0107008
____,01,______,07,_____ - 044,044,0107044
____,01,______,07,_______ ____ - 162,162,0107162
____,01,______,07,_______ ____ - 161,161,0107161
____,01,______,07,_________ - 043,043,0107043
____,01,______,07,________ - 078,078,0107078
____,01,______,07,______ - 096,096,0107096
____,01,______,07,____ - 027,027,0107027
____,01,______,07,_____ - 145,145,0107145
____,01,______,07,_____ - 070,070,0107070
____,01,______,07,_____ - 135,135,0107135
____,01,______,07,______-______ - 099,099,0107099
____,01,______,07,______-______ - 140,140,0107140
____,01,______,07,_____ - 047,047,0107047
____,01,______,07,_______ - 126,126,0107126
____,01,______,07,_____ - 018,018,0107018
____,01,______,07,_____ - 002,002,0107002
____,01,______,07,______ ____ - 024,024,0107024
____,01,______,07,______ ____ - 025,025,0107025
____,01,______,07,______ - 152,152,0107152
____,01,______,07,______ - 151,151,0107151
____,01,______,07,___ - 165,165,0107165
____,01,______,07,____ - 029,029,0107029
____,01,______,07,______ - 048,048,0107048
____,01,______,07,___ - 054,054,0107054
____,01,______,07,________ - 019,019,0107019
____,01,______,07,_____ - 059,059,0107059
____,01,______,07,____-____ - 028,028,0107028
____,01,______,07,_____ - 147,147,0107147
____,01,______,07,____ - 159,159,0107159
____,01,______,07,______ - 033,033,0107033
____,01,______,07,____ - 067,067,0107067
____,01,______,07,______ - 006,006,0107006
____,01,______,07,____ - 071,071,0107071
____,01,______,07,_______ - 125,125,0107125
____,01,______,07,________ - 075,075,0107075
____,01,______,07,________ - 074,074,0107074
____,01,______,07,____ - 164,164,0107164
____,01,______,07,_______ - 136,136,0107136
____,01,______,07,_____ - 154,154,0107154
____,01,______,07,_____ - 138,138,0107138
____,01,______,07,______ - 005,005,0107005
____,01,______,07,_______ - 031,031,0107031
____,01,______,07,_____ - 110,110,0107110
____,01,______,07,________ ____ - 158,158,0107158
____,01,______,07,________ ____ - 157,157,0107157
____,01,______,07,________ - 124,124,0107124
____,01,______,07,_______ - 141,141,0107141
____,01,______,07,________ - 081,081,0107081
____,01,______,07,____ - 095,095,0107095
____,01,______,07,______ - 085,085,0107085
